sqrt_salary_million,Age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team_BOS,Team_BRK,Team_CHI,Team_CHO,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GSW,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NOP,Team_NYK,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SAC,Team_SAS,Team_TOR,Team_UTA,Team_WAS,Position_C,Position_PF,Position_PG,Position_SF,Position_SG
6.1631384861935405,31,33,19,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,0.499,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1,801,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.117,1.0,-0.3,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.162849990061416,29,56,54,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,1904,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,0.226,4.6,1.7,6.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.136228483360117,33,64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,0.56,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,2138,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,9.4,2.9,12.3,0.277,6.7,2.0,8.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.134578225110508,30,74,74,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,0.575,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,2436,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.1058382716871895,32,9,1,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,144,15.0,0.543,0.491,0.368,2.4,10.6,6.5,20.1,0.7,1.2,5.7,22.1,0.2,0.1,0.3,0.098,0.3,-0.6,-0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.090689616127225,24,73,73,34.8,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,2541,22.0,0.573,0.331,0.46,2.4,7.0,4.7,42.5,1.5,0.3,15.2,32.6,5.3,1.4,6.7,0.126,5.3,-2.0,3.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.090689616127225,27,77,77,35.9,8.7,18.0,0.485,2.6,7.1,0.375,6.1,11.0,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8,2768,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.953878735748655,26,42,33,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,1105,13.4,0.559,0.009,0.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,0.097,-2.2,2.6,0.4,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.953878735748655,28,71,71,37.4,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,0.515,5.2,6.7,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2,2652,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.9242299077601634,26,62,62,29.4,6.5,11.8,0.548,1.5,4.0,0.373,5.0,7.8,0.638,0.612,3.5,4.5,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18.0,1825,20.0,0.651,0.34,0.377,5.4,22.9,14.2,7.5,0.9,6.6,10.8,22.0,3.4,2.0,5.4,0.142,1.4,0.7,2.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.858286438882961,32,67,65,32.6,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,0.556,2.3,2.6,0.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,1.7,19.3,2183,19.2,0.586,0.402,0.173,3.9,12.0,8.1,34.4,1.7,0.9,15.2,25.0,3.9,2.8,6.7,0.148,3.0,0.1,3.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.8166485195514435,27,29,29,33.0,7.3,14.8,0.495,2.1,5.7,0.366,5.2,9.1,0.576,0.565,4.1,4.7,0.874,1.7,6.5,8.1,4.8,0.7,0.6,3.0,3.8,20.8,957,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22.0,1.0,1.5,15.0,25.6,1.5,1.1,2.7,0.133,2.1,0.9,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.8166485195514435,26,53,53,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,1835,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.797997067953726,27,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,1190,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.797997067953726,28,66,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2284,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.7735026630287445,31,75,75,35.3,7.8,17.9,0.437,2.8,7.2,0.389,5.0,10.7,0.469,0.515,2.4,3.2,0.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,2.0,20.9,2649,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.744562646538029,33,58,58,36.8,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,0.536,5.4,6.2,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,2135,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
